stock,url,created,suositus,analyytikko
inderes,q3-line-quarter-positive-note-recurring-revenue,2022-11-01 09:52:00,,
inderes,keeps-delivering-recurring-revenue,2022-11-01 20:19:00,,
inderes,inderes-group-nordic-growth-story-boosted,2022-11-11 10:13:00,,
wetteri,sopranon-tarina-tulossa-paatokseen,2022-12-12 07:55:00,vähennä,Olli Koponen
mgi-media-and-games-invest,tutkan-alla-lentava-aliarvostettu-alustayhtio,2022-12-12 21:33:00,osta,Anton Damstén
inderes,seb-it-nordic-game-now,2022-12-19 21:19:00,,
inderes,inderes-group-expanding-alma-talent-collaboration-seb,2023-01-24 09:58:00,,
inderes,inderes-group-q4-sales-above-and-ebita-line-our-estimates-seb,2023-02-07 10:39:00,,
inderes,inderes-group-opening-new-chapter-decent-end-year-seb,2023-02-08 00:49:00,,
mgi-media-and-games-invest,riski-tuottosuhde-edelleen-houkutteleva,2023-03-01 10:04:00,osta,Anton Damstén
inderes,inderes-group-distribution-agreement-support-research-penetration-sweden-seb,2023-03-10 09:07:00,,
inderes,inderes-group-jan-feb-sales-broadly-line-our-q1-expectation-seb,2023-03-15 12:46:00,,
inderes,inderes-group-improving-acquisitions-and-easy-comps-seb,2023-04-11 18:50:00,,
inderes,inderes-group-q1-above-our-estimates-thanks-agm-and-analysis-services-seb,2023-04-21 08:57:00,,
inderes,inderes-group-solid-start-year-seb,2023-04-21 22:09:00,,
inderes,inderes-group-april-sales-increase-49-broadly-line-our-estimate-seb,2023-05-11 11:24:00,,
inderes,inderes-group-new-strategy-out-ahead-cmd-seb,2023-05-25 16:15:00,,
inderes,inderes-group-clear-plan-swedish-expansion-seb,2023-05-26 16:19:00,,
mgi-media-and-games-invest,hitaampaa-kasvua-mutta-parempaa-kannattavuutta,2023-06-01 13:48:00,osta,Anton Damstén
inderes,inderes-group-may-sales-growth-rate-declined-april-seb,2023-06-14 12:28:00,,
inderes,inderes-group-april-may-sales-data-triggers-estimate-cuts-seb,2023-08-02 22:19:00,,
inderes,inderes-group-q2-muted-performance-june-takes-q2-below-our-estimates-seb,2023-08-15 11:58:00,,
inderes,inderes-group-adverse-market-conditions-visible-growth-seb,2023-08-16 00:29:00,,
mgi-media-and-games-invest,haastava-markkina-painaa-liikevaihtoa-alas,2023-09-01 15:42:00,osta,Anton Damstén
enento-group,pohjoismaiden-luottotietokuningas,2023-09-01 19:08:00,lisää,Roni Peuranheimo
puuilo,kovat-kasvuluvut-lyotiin-poytaan,2023-09-13 19:46:00,lisää,Arttu Heikura
inderes,inderes-group-growth-recurring-revenue-flat-project-revenue-august-seb,2023-09-14 21:12:00,,
nibe-industrier,staying-cool-and-waiting-heat,2023-09-20 08:55:00,vähennä,Lucas Mattsson
inderestv?field_video_category_tid=483,maailmantalouden-suhdannenakymassa-laaja-alaista-heikentymista,2023-09-27 15:55:00,,
inderestv?field_video_category_tid=483,yhdysvalloissa-talouden-indikaattorit-edelleen-lampimina,2023-10-17 12:31:00,,
inderes,inderes-group-markets-headwind-seb,2023-10-23 19:56:00,,
inderes,q3-broadly-line-headlines-market-weakness-visible-project-business,2023-10-31 09:24:00,,
inderes,good-performance-core-business,2023-10-31 18:41:00,,
toivo-group,iskukykya-viritellaan,2023-11-09 09:01:00,lisää,Frans-Mikael Rostedt
investors-house,valmiina-hyotymaan-markkinan-mahdollisuuksista,2023-11-14 09:34:00,lisää,Frans-Mikael Rostedt
nibe-industrier,risks-cast-shadow-over-potential-rewards,2023-11-16 09:28:00,vähennä,Lucas Mattsson
inderestv?field_video_category_tid=483,rahoitusoloissa-kiristymista-reaalikoroissa-kaanne-laskuun,2023-11-16 10:28:00,,
ovaro-kiinteistosijoitus,marssi-jatkuu-oikeaan-suuntaan,2023-11-17 08:53:00,lisää,Frans-Mikael Rostedt
inderes,inderes-group-october-sales-broadly-inline-our-estimate-seb,2023-11-17 13:53:00,,
